Response,original_response,Response_id
i think the ad can moviegoer people to keep doing what they are good at and they can become professionals,i think the ad can movitave people to keep doing what they are good at and they can become professionals,268
It is interesting and inspiring. I really like it,It is interesting and inspiring. I really like it,111
Flows well together,Flows well together,27
"The ad was interesting. It made me feel excited and energized. To be honest, the ad itself was a little confusing. I had no idea what it was about until the ad finally ended, all I knew was it was about sports.","The ad was interesting. It made me feel excited and energized. To be honest, the ad itself was a little confusing. I had no idea what it was about until the ad finally ended, all I knew was it was about sports.",195
"i really liked the music with this ad, it was very eye catching and made me want to watch the entire time","i really liked the music with this ad, it was very eye catching and made me want to watch the entire time",266
original,original,326
the ad is very interesting as it is also mainly addressed to my age group as many may find it entertaining and be willing to enroll,the ad is very interesting as it is also mainly addressed to my age group as many may find it entertaining and be willing to enroll,344
sports are a fun way to integrate with others,sports are a fun way to integrate with others,338
"Support for athletes, everyone can play, even the poor.","Support for athlets, everyone can play, even the poor.",186
"inspiring, makes me motivated","inspiring, makes me motivated",277
Inspiring.,Inspiring.,103
about the children,about the children,220
compassion,compassion,231
"Motivational, encouraging. It was a awesome ad for the RBC Training Ground.","Motivational, encouraging. It was a awesome ad for the RBC Training Ground.",159
go out and exercise,go out and exercise,250
"engaging, makes sense, inspiring, easily understood","engaging, makes sense, inspiring, easily understood",239
it was positive and inspiring,it was positive and inspiring,307
"it keeps me engaged, very captivating thanks to the fast movements and colorful graphics together with the upbeat music - suitable to target youth!","it keeps me engaged, very captivating thanks to the fast movements and colourful graphics together with the upbeat music - suitable to target youth!",288
motivational,motivational,324
rec training ground makes banking easy,rbc training ground makes banking easy,333
"The editing was very well done, the music really pulls you into paying attention, I also liked how many different types of people were in the ad to show diversity and differences for everyone.","The editing was very well done, the music really pulls you into paying attention, I also liked how many different types of people were in the ad to show diversity and differences for everyone.",200
It kept my interest going,It kept my interest going,113
I loved It,I loved It,73
Comic Books.,Comic Books.,8
The ad demonstrates the support of sports that is offered by RBC,The ad demonstrates the support of sports that is offered by RBC,188
"I felt motivated to work out, made me feel good in a way that, the workouts looked fun","I felt motivated to work out, made me feel good in a way that, the workouts looked fun",46
"If I felt like I was fit enough to qualify for something like that, I would definitely consider it. It seems like a really cool and inspiring idea","If I felt like I was fit enough to qualify for something like that, I would definitely consider it. It seems like a really cool and inspiring idea",98
Made me think of my hobbies and so made me happy.,Made me think of my hobbies and so made me happy.,156
